SubjectNumber	Ethnicity	AA_yn	MaternalEducation	edcat5	gender	final_sample
1	W	N	AD	5	F	Y
2	AA	Y	BHD	1	F	Y
3	AA	Y	CD	4	F	Y
4	W	N	AD	5	M	Y
5	AA	Y	HD	2	M	Y
6	AA	Y	CD	4	F	Y
7	W	N	CD	4	M	Y
8	W	N	CD	4	M	Y
9	W	N	CD	4	F	Y
10	AA	Y	HD	2	F	N
11	W	N	AD	5	M	N
12	W	N	AD	5	F	Y
13	W	N	CD	4	M	Y
14	W	N	AD	5	F	N
15	W	N	AD	5	M	Y
16	W_A	N	AD	5	M	Y
17	W	N	AD	5	M	Y
18	W	N	AD	5	F	Y
19	A	N	AD	5	F	Y
20	W	N	CD	4	F	N
21	AA	Y	CD	4	M	N
22	AA	Y	SC	3	M	Y
23	W	N	AD	5	F	Y
24	AA	Y	HD	2	F	N
25	W	N	AD	5	F	Y
26	NA	N	SC	3	F	N
27	AA	Y	NA	NA	F	N
28	W_AA	N	AD	5	F	Y
29	AA	Y	SC	3	M	N
30	AA	Y	HD	2	F	Y
31	AA	Y	AD	5	M	N
32	W	N	AD	5	F	N
33	AA	Y	SC	3	M	Y
34	H	N	AD	5	F	Y
35	W	N	NA	NA	F	N
36	AA	Y	SC	3	M	N
37	AA	Y	HD	2	F	Y
38	W	N	AD	5	F	N
39	W	N	AD	5	M	N
40	AA	Y	HD	2	M	N
41	A	N	CD	4	M	Y
42	AA	Y	CD	4	F	N
43	W	N	CD	4	F	Y
44	AA	Y	AD	5	M	N
45	AA	Y	AD	5	M	N
46	W_AA	N	AD	5	M	N
47	AA	Y	SC	3	F	N
48	AA	Y	SC	3	M	Y
49	W	N	NA	NA	F	Y
50	W	N	AD	5	M	N
51	AA	Y	CD	4	M	N
52	W	N	CD	4	M	Y
53	W	N	AD	5	F	Y
54	W	N	AD	5	F	N
55	W	N	AD	5	F	Y
56	AA	Y	CD	4	M	Y
57	W	N	CD	4	M	Y
58	W	N	CD	4	M	Y
59	AA_A	N	HD	2	M	N
60	W	N	CD	4	F	Y
61	AA	Y	SC	3	F	N
62	W	N	AD	5	M	Y
63	AA	Y	CD	4	F	N
64	AA	Y	SC	3	F	N
65	AA	Y	HD	2	M	N
66	W	N	SC	3	M	Y
67	AA	Y	SC	3	F	Y
68	O	N	SC	3	M	N
69	W	N	SC	3	F	Y
70	AA	Y	HD	2	M	N
71	W	N	AD	5	M	N
72	W	N	AD	5	F	N
73	W	N	SC	3	F	N
74	AA	Y	HD	2	F	N
75	AA	Y	CD	4	M	Y
76	W	N	CD	4	F	N
77	NA	N	CD	4	F	Y
78	AA	Y	SC	3	M	Y
79	W	N	SC	3	M	N
80	W	N	AD	5	F	N
81	W	N	CD	4	M	N
82	A	N	AD	5	F	N
83	A	N	AD	5	M	N
84	W	N	AD	5	F	Y
85	AA	Y	AD	5	M	Y
86	W	N	SC	3	F	N
87	W	N	HD	2	M	Y
88	AA	Y	BHD	1	M	Y
89	AA	Y	SC	3	M	Y
90	AA_O	N	SC	3	M	Y
91	AA	Y	CD	4	F	Y
92	W	N	SC	3	M	Y
93	AA	Y	SC	3	F	Y
94	AA	Y	HD	2	F	Y
95	W	N	AD	5	M	Y
96	W	N	AD	5	F	Y
97	AA	Y	CD	4	M	Y
98	W	N	AD	5	M	Y
99	AA	Y	SC	3	M	Y
100	AA_W	N	HD	2	M	Y
101	A	N	AD	5	F	Y
102	W	N	AD	5	M	Y
103	W	N	CD	4	F	Y
104	W	N	AD	5	F	Y
105	W	N	CD	4	F	Y
106	W	N	AD	5	F	Y
107	W_A	N	AD	5	F	Y
108	AA	Y	SC	3	M	Y
109	W	N	AD	5	M	Y
110	W	N	AD	5	F	Y
111	W	N	AD	5	M	Y
112	AA	Y	NA	NA	M	Y
113	AA_W	N	HD	2	F	Y
114	W	N	AD	5	M	N
115	O	N	AD	5	M	Y
116	W_AA	N	AD	5	F	Y
117	AA	Y	HD	2	F	N
118	AA	Y	BHD	1	F	N
119	AA	Y	HD	2	M	Y
120	AA	Y	SC	3	M	Y
121	W	N	AD	5	M	Y
122	W	N	AD	5	M	N
123	W	N	CD	4	M	Y
124	AA	Y	CD	4	F	N
125	AA	Y	CD	4	F	N
126	AA	Y	SC	3	F	N
127	AA	Y	NA	NA	F	Y
128	W	N	AD	5	M	Y
129	W	N	CD	4	F	Y
130	AA	Y	SC	3	F	Y
131	W	N	CD	4	F	Y
132	AA	Y	SC	3	M	N
133	AA	Y	HD	2	M	Y
134	AA	Y	HD	2	F	Y
135	A	N	AD	5	M	N
136	AA	Y	HD	2	M	N
137	W	N	CD	4	M	Y
138	W_A	N	AD	5	M	Y
139	AA	Y	AD	5	F	Y
140	AA	Y	HD	2	M	Y
141	W	N	CD	4	F	N
142	AA	Y	BHD	1	F	N
143	AA	Y	HD	2	F	N
144	W	N	AD	5	M	N
145	AA	Y	BHD	1	F	Y
146	AA	Y	CD	4	F	N
147	NA	N	NA	NA	F	N
148	W	N	CD	4	M	Y
149	W	N	CD	4	F	N
