SubjectNumber	Ethnicity	AA_yn	MaternalEducation	edcat5	gender	final_sample
1	W	N	CD	4	M	Y
2	W	N	SC	3	F	Y
3	AA	Y	BHD	1	M	Y
4	AI_AA	N	SC	3	F	Y
5	W	N	AD	5	M	Y
6	W	N	CD	4	F	Y
7	W	N	CD	4	M	N
8	W	N	CD	4	M	Y
9	W	N	AD	5	M	Y
10	AA	Y	HD	2	M	N
11	AA	Y	HD	2	F	N
12	AA	Y	SC	3	M	N
13	W	N	CD	4	M	Y
14	W_O	N	CD	4	F	Y
15	W	N	CD	4	M	Y
16	W	N	CD	4	F	Y
17	W	N	CD	4	M	N
18	W	N	CD	4	M	Y
19	W	N	AD	5	M	Y
20	AA	Y	BHD	1	M	Y
21	AA_W	N	SC	3	F	Y
22	W_A	N	AD	5	M	N
23	AA	Y	SC	3	M	Y
24	W	N	AD	5	F	Y
25	AA	Y	SC	3	F	Y
26	AA	Y	HD	2	M	Y
27	W	N	AD	5	F	N
28	W	N	AD	5	F	Y
29	W_O	N	SC	3	M	Y
30	W	N	AD	5	M	Y
31	AA	Y	BHD	1	F	Y
32	AA	Y	AD	5	F	N
33	W	N	AD	5	F	Y
34	W	N	CD	4	M	Y
35	AA	Y	CD	4	F	N
36	W	N	CD	4	M	Y
37	AA	Y	SC	3	F	Y
38	W	N	AD	5	F	N
39	W	N	AD	5	M	Y
40	AA	Y	SC	3	M	Y
41	AA	Y	CD	4	F	Y
42	AA	Y	HD	2	F	Y
43	AA	Y	CD	4	M	Y
44	W	N	AD	5	F	Y
45	AA	Y	SC	3	F	Y
46	AA	Y	BHD	1	F	Y
47	W	N	AD	5	F	Y
48	W	N	CD	4	M	Y
49	W	N	AD	5	F	Y
50	AA	Y	SC	3	F	Y
51	AA	Y	CD	4	F	Y
52	AA	Y	SC	3	F	Y
53	W	N	AD	5	F	N
54	W	N	AD	5	M	Y
55	W	N	CD	4	F	Y
56	AA	Y	SC	3	F	N
57	AA	Y	HD	2	M	Y
58	W	N	AD	5	M	Y
59	AA_W	N	AD	5	M	Y
60	AA	Y	AD	5	M	Y
61	W	N	CD	4	M	Y
62	W	N	CD	4	M	Y
63	AA	Y	SC	3	M	Y
64	AA	Y	SC	3	M	Y
65	AA	Y	NA	NA	M	N
66	NA	N	SC	3	M	Y
67	AA	Y	HD	2	M	N
68	W	N	AD	5	F	Y
69	W	N	AD	5	M	N
70	AA	Y	HD	2	M	Y
71	AA	Y	AD	5	F	N
72	W	N	NA	NA	M	Y
73	W	N	AD	5	M	N
74	W	N	AD	5	M	Y
75	W_O	N	AD	5	M	Y
76	W	N	CD	4	M	Y
77	W	N	AD	5	F	Y
78	AA	Y	SC	3	M	N
79	W	N	AD	5	M	Y
80	W	N	AD	5	F	Y
81	W	N	AD	5	M	Y
82	AA	Y	SC	3	F	N
83	W	N	AD	5	F	Y
84	AA_W	N	BHD	1	M	N
85	AA	Y	HD	2	M	Y
86	AA	Y	HD	2	F	N
87	W	N	SC	3	F	Y
88	W	N	AD	5	M	Y
89	AA	Y	AD	5	M	Y
90	W_A	N	AD	5	M	Y
91	AA	Y	SC	3	M	N
92	W	N	AD	5	M	Y
93	AA	Y	HD	2	M	Y
94	W	N	AD	5	M	Y
95	W	N	AD	5	M	Y
96	W	N	CD	4	M	Y
97	A	N	AD	5	M	N
98	W_A	N	CD	4	F	Y
99	AA	Y	CD	4	F	N
100	W	N	AD	5	M	Y
101	W	N	AD	5	F	Y
102	W	N	AD	5	F	N
103	W	N	CD	4	M	Y
104	AA	Y	SC	3	F	Y
105	AA	Y	HD	2	F	Y
106	AA	Y	HD	2	M	N
107	W	N	CD	4	M	Y
108	AA	Y	HD	2	F	Y
109	W	N	CD	4	F	Y
110	AA	Y	HD	2	M	Y
111	AI	N	AD	5	M	Y
112	AA	Y	SC	3	F	Y
113	W	N	CD	4	M	Y
114	W	N	AD	5	M	N
115	W	N	AD	5	F	N
116	W	N	AD	5	M	Y
117	AA	Y	SC	3	M	Y
118	W	N	AD	5	M	N
119	A	N	SC	3	M	Y
120	W	N	AD	5	M	Y
121	W	N	AD	5	F	Y
122	AA	Y	SC	3	M	Y
123	W	N	AD	5	F	N
124	AA	Y	SC	3	M	Y
125	W	N	SC	3	M	N
126	NA	N	SC	3	F	N
127	W	N	AD	5	F	Y
128	AA	Y	SC	3	F	Y
129	W	N	AD	5	M	Y
130	W	N	AD	5	F	N
131	AA	Y	AD	5	M	Y
